模型,平衡准确率,二次加权Kappa,CohenKappa,MCC,宏ROC_AUC
SVM,0.6600374429987867,0.6257271485659366,0.42789090229777693,0.43902046787022364,0.8190474637951026
决策树,0.6436319011560613,0.5661196778538249,0.45119283190637594,0.4515105365924267,0.7287382646354419
随机森林,0.7234921697415944,0.7199544409868408,0.5793713681986266,0.5810624256799101,0.8985390955957481
逻辑回归,0.5671446401427994,0.4909365607574182,0.2962924320442871,0.31116219639771425,0.7396166667976608
