模型,准确率,精确率,召回率,F1
SVM,0.6173469387755102,0.6162339330360808,0.6600374429987867,0.6218845075321648
决策树,0.65,0.6468190032257519,0.6436319011560613,0.6448510536488634
随机森林,0.7346938775510204,0.7478887306544424,0.7234921697415944,0.7336400692850068
逻辑回归,0.5224489795918368,0.5236462001578751,0.5671446401427994,0.5203857650027557
